company_name,event_name,event_relevance_score,revenue-estimated,employees,industry,products,industry_fit,qualification_summary,strategic_relevance,qualified_lead_reasons,Decision_Maker,Title,Email,LinkedIn,outreach_message,lead_score
Lintec of America Inc.,ISA Sign Expo 2025,9,200000000,1000,Premier supplier of pressure-sensitive films and specialty media for signage and graphics[1].,"['Signs', 'Displays']",Yes,"Lintec specializes in films and adhesives, which strongly aligns with protective film solutions. Their presence in specialty media and large-scale signage suggests strong synergy for advanced protective or decorative films.","Focused on pressure-sensitive films, making them a prime candidate for higher-value protective solutions.","['leading film manufacturer','strong synergy with protective film technology','active industry presence']",Alex Lee,VP of Sales,alex.lee@lintecofamericainc.com,https://www.linkedin.com/in/alex-lee-5439,"Subject: Elevate Lintec of America Inc.'s Signage Solutions with Tedlar

Dear Alex,

I trust this message finds you well. It was a pleasure connecting with you at the ISA Sign Expo 2025 and learning more about Lintec of America Inc.'s industry-leading position as a premier supplier of pressure-sensitive films and specialty media for signage and graphics.

Given your focus on pressure-sensitive films and specialty media, Tedlar's protective film solutions can significantly enhance the durability and longevity of your signage products. Our advanced protective films offer unmatched performance in safeguarding surfaces against wear and tear, ensuring your signs and displays maintain their pristine appearance over time.

Moreover, as a leading film manufacturer with a strong foundation in protective film technology, we see great potential for synergy in combining our expertise with Lintec's active industry presence. This collaboration could drive innovation and set new benchmarks in the signage and graphics sector.

I would welcome the opportunity to discuss how Tedlar's solutions can complement Lintec's offerings further. Could we schedule a brief call next week to explore potential partnership avenues?


Best,
Harshit
DuPont Tedlar",59
Lintec of America Inc.,ISA Sign Expo 2025,9,200000000,1000,Premier supplier of pressure-sensitive films and specialty media for signage and graphics[1].,"['Signs', 'Displays']",Yes,"Lintec specializes in films and adhesives, which strongly aligns with protective film solutions. Their presence in specialty media and large-scale signage suggests strong synergy for advanced protective or decorative films.","Focused on pressure-sensitive films, making them a prime candidate for higher-value protective solutions.","['leading film manufacturer','strong synergy with protective film technology','active industry presence']",Morgan Lee,Chief Materials Engineer,morgan.lee@lintecofamericainc.com,https://www.linkedin.com/in/morgan-lee-5316,"Subject: Elevate Lintec of America's Signage Solutions with DuPont Tedlar

Dear Morgan Lee,

I trust this message finds you well. It was a pleasure connecting with you at the ISA Sign Expo 2025 and discussing Lintec of America's commitment to providing premier pressure-sensitive films and specialty media for signage and graphics.

DuPont Tedlar's protective film technology presents a strategic synergy with Lintec's focus on pressure-sensitive films, offering enhanced protection and longevity to your signage products. Our solutions are tailored to elevate the durability and performance of signs and displays, aligning perfectly with your goal of delivering high-quality products to your customers.

Given Lintec's position as a leading film manufacturer and active industry presence, I believe a collaboration between our companies could drive innovation and value creation in the signage industry.

I would be delighted to discuss how DuPont Tedlar can further enhance Lintec's offerings. Could we schedule a brief call next week to explore potential synergies and collaboration opportunities?

Best,
Harshit
DuPont Tedlar",59
General Formulations,ISA Sign Expo 2025,9,100000000,1000,Global manufacturer of pressure-sensitive print media for signage and graphics applications[1].,"['Signs', 'Displays']",Yes,"General Formulations is a large, established producer of vinyl and pressure-sensitive materials for graphics. Their extensive product range and global reach indicate a strong fit for protective film collaborations.","Offers broad product lines in pressure-sensitive graphics, aligning well with high-performance protective films.","['large-scale graphics manufacturer','broad pressure-sensitive product lineup','exhibitor at key signage events']",Cameron Lee,Senior Product Manager,cameron.lee@generalformulations.com,https://www.linkedin.com/in/cameron-lee-6999,"Subject: Elevate Your Signage and Graphics with Tedlar Protective Films

Dear Cameron,

I hope this message finds you well. It was a pleasure connecting with you at the ISA Sign Expo 2025 and learning more about General Formulations' impressive range of pressure-sensitive print media for signage and graphics applications.

At DuPont Tedlar, we understand the critical need for high-performance protective films in enhancing the durability and longevity of signage and displays. Our Tedlar films offer unmatched protection against harsh environmental elements, ensuring that your signs maintain their vibrant appearance over time.

Given General Formulations' expertise as a large-scale graphics manufacturer with a broad pressure-sensitive product lineup, we see significant synergies in collaborating to elevate the performance and longevity of your products. Our shared presence at key signage events further solidifies the strategic fit between our offerings.

I would love to discuss how Tedlar protective films can complement General Formulations' product range and add value to your customers. Could we schedule a brief call next week to explore potential collaboration opportunities further?

Best regards,
Harshit
DuPont Tedlar
Best,
Harshit
DuPont Tedlar",59
General Formulations,ISA Sign Expo 2025,9,100000000,1000,Global manufacturer of pressure-sensitive print media for signage and graphics applications[1].,"['Signs', 'Displays']",Yes,"General Formulations is a large, established producer of vinyl and pressure-sensitive materials for graphics. Their extensive product range and global reach indicate a strong fit for protective film collaborations.","Offers broad product lines in pressure-sensitive graphics, aligning well with high-performance protective films.","['large-scale graphics manufacturer','broad pressure-sensitive product lineup','exhibitor at key signage events']",Jordan Garcia,Senior Product Manager,jordan.garcia@generalformulations.com,https://www.linkedin.com/in/jordan-garcia-6963,"Subject: Elevate Your Signs and Displays with Tedlar Protective Films

Dear Jordan Garcia,

I hope this message finds you well. It was a pleasure connecting with you at the ISA Sign Expo 2025. As a Senior Product Manager at General Formulations, your expertise in pressure-sensitive print media for signage and graphics applications aligns perfectly with DuPont Tedlar's high-performance protective films.

Our Tedlar protective films are tailored to enhance the durability and longevity of signs and displays, ensuring they maintain their quality in various environments. With General Formulations being a large-scale graphics manufacturer with a broad pressure-sensitive product lineup, our solutions can provide the protection your products need to stand out in the market.

I believe that by leveraging the synergies between our companies, we can create innovative solutions that meet the ever-evolving demands of the signage and graphics industry. I would love to discuss potential collaboration opportunities further at your earliest convenience.

Looking forward to the possibility of working together.

Best,
Harshit
DuPont Tedlar",59
Arlon Graphics,ISA Sign Expo 2025,9,500000000,1000,Global leader in graphic films and pressure-sensitive adhesive films for signage[1].,['Graphics'],Yes,"Arlon’s broad portfolio of adhesive films is closely aligned with protective film applications in signage, vehicle wraps, and architectural surfaces.",Major global brand with strong distribution channels; protective film synergy is high.,"['global producer of adhesive films','broad signage & wrap applications','exhibitor at key events']",Cameron Smith,VP of Sales,cameron.smith@arlongraphics.com,https://www.linkedin.com/in/cameron-smith-5334,"Subject: Elevate Your Signage Solutions with DuPont Tedlar

Dear Cameron,

I trust this message finds you well. It was a pleasure connecting with you at the ISA Sign Expo 2025 and learning more about Arlon Graphics' impressive role as a global leader in graphic films and pressure-sensitive adhesive films for signage.

DuPont Tedlar's advanced film solutions can significantly enhance your Graphics offerings by providing unmatched durability and protection. Our expertise as a global producer of adhesive films aligns perfectly with Arlon Graphics' broad signage & wrap applications. Moreover, our presence at key events like ISA Sign Expo underlines our commitment to innovation and industry leadership, resonating with Arlon Graphics' strategic direction.

I believe there is substantial potential for collaboration between DuPont Tedlar and Arlon Graphics to create cutting-edge solutions that elevate your products and strengthen your market position. I would love to discuss this further at your convenience.

Best,
Harshit
DuPont Tedlar",59
Canon USA,ISA Sign Expo 2025,9,29765000000,7000,"Global technology company offering printing solutions, including large-format printing for signage[2].",['Printers'],Yes,Canon’s wide-format and industrial printing solutions are used extensively for signage. Protective films can add value to Canon-printed materials for extended outdoor use and vibrant finishes.,"Major print OEM with broad signage presence, synergy in protective finishing solutions.","['global brand','deep large-format printing expertise','enhances product portfolio with protective solutions']",Jordan Lee,Director of Innovation,jordan.lee@canonusa.com,https://www.linkedin.com/in/jordan-lee-4065,"Subject: Elevate Canon USA's Printing Solutions with Tedlar

Dear Jordan,

I trust this message finds you well. It was a pleasure connecting with you at the ISA Sign Expo 2025 and learning more about Canon USA's innovative initiatives in the global technology sector.

As a major print OEM with a strong focus on large-format printing for signage, your company's expertise and global brand presence are truly impressive. I believe that DuPont Tedlar's protective finishing solutions can further enhance your product portfolio by ensuring the longevity and durability of your printers, ultimately elevating the quality of your output.

Our collaboration can leverage your deep large-format printing expertise with Tedlar's advanced protective solutions, creating a strategic synergy that aligns perfectly with your company's goals. I am excited about the opportunity to explore how we can work together to maximize the potential of your printing solutions.

I would love to schedule a call to discuss potential collaboration opportunities further. Please let me know a convenient time for you, or feel free to propose an alternative.

Best,
Harshit
DuPont Tedlar",58
Canon USA,ISA Sign Expo 2025,9,29765000000,7000,"Global technology company offering printing solutions, including large-format printing for signage[2].",['Printers'],Yes,Canon’s wide-format and industrial printing solutions are used extensively for signage. Protective films can add value to Canon-printed materials for extended outdoor use and vibrant finishes.,"Major print OEM with broad signage presence, synergy in protective finishing solutions.","['global brand','deep large-format printing expertise','enhances product portfolio with protective solutions']",Jordan Brown,Chief Materials Engineer,jordan.brown@canonusa.com,https://www.linkedin.com/in/jordan-brown-5848,"Subject: Enhancing Canon USA's Printing Solutions with DuPont Tedlar

Dear Jordan,

I hope this message finds you well. It was a pleasure meeting you at the ISA Sign Expo 2025 and discussing Canon USA's innovative large-format printing solutions.

DuPont Tedlar's advanced films are designed to enhance the performance and durability of printers, ensuring a longer lifespan and higher quality output for your signage applications. Our protective solutions align perfectly with Canon's global brand and deep expertise in large-format printing, offering a seamless integration that enhances your product portfolio.

I believe there is a great opportunity for collaboration between Canon USA and DuPont Tedlar to elevate your printing solutions further. I would love to discuss how we can work together to maximize the potential synergies and create a lasting impact.

Looking forward to the possibility of working together and exploring the mutual benefits it can bring to both our organizations.

Best,
Harshit
DuPont Tedlar",58
Cimpress plc,ISA Sign Expo 2025,9,3290000000,10001,"Invests in and operates mass-customization businesses like Vistaprint, offering printing & signage solutions worldwide[2].","['Printing','Signage']",Yes,"Cimpress companies produce vast amounts of signage and custom print materials. Protective films could add value, especially for outdoor or high-touch prints.",Huge reach via multiple brands; strong potential for adopting protective film across product lines.,"['mass-customization leader','broad signage/print presence','potential for large-scale protective film adoption']",Casey Jones,Chief Materials Engineer,casey.jones@cimpressplc.com,https://www.linkedin.com/in/casey-jones-7402,"Subject: Enhancing Cimpress plc's Printing Solutions with Tedlar Films

Dear Casey Jones,

I hope this message finds you well. It was a pleasure connecting with you at the ISA Sign Expo 2025. I am impressed by Cimpress plc's innovative approach to mass-customization within the printing and signage industry.

At DuPont Tedlar, we understand the importance of protecting high-quality prints and signage, which aligns perfectly with Cimpress plc's focus on mass-customization and broad signage/print presence. Our Tedlar films offer unparalleled durability and protection, ensuring that your products maintain their quality over time, even with extensive handling and exposure.

Given Cimpress plc's huge reach via multiple brands and the strong potential for adopting protective film across product lines, I believe that integrating Tedlar films into your printing solutions could significantly enhance the longevity and quality of your offerings.

I would love to discuss how we can collaborate to implement Tedlar films effectively within your operations. Please let me know a convenient time for you to explore this further.


Best,
Harshit
DuPont Tedlar",57
Cimpress plc,ISA Sign Expo 2025,9,3290000000,10001,"Invests in and operates mass-customization businesses like Vistaprint, offering printing & signage solutions worldwide[2].","['Printing','Signage']",Yes,"Cimpress companies produce vast amounts of signage and custom print materials. Protective films could add value, especially for outdoor or high-touch prints.",Huge reach via multiple brands; strong potential for adopting protective film across product lines.,"['mass-customization leader','broad signage/print presence','potential for large-scale protective film adoption']",Riley Jones,Director of Innovation,riley.jones@cimpressplc.com,https://www.linkedin.com/in/riley-jones-1990,"Subject: Elevate Cimpress plc's Printing & Signage with DuPont Tedlar

Hi Riley,

I hope this message finds you well. It was a pleasure meeting you at the ISA Sign Expo 2025 and learning more about Cimpress plc's innovative mass-customization approach in the printing and signage industry.

At DuPont Tedlar, we understand the importance of protecting high-quality prints and signage. Our protective films can enhance the durability and longevity of your printed materials, ensuring they maintain their vibrant appearance over time. Given Cimpress plc's vast reach through multiple brands and the potential for large-scale protective film adoption, we see a great opportunity for collaboration.

With Tedlar's expertise in protective solutions and Cimpress plc's position as a mass-customization leader with a broad signage/print presence, we believe there is strong synergy for us to work together. I would love to explore how we can tailor our solutions to meet your specific needs and contribute to your operational excellence.

Could we schedule a meeting to discuss potential collaboration opportunities further? I am excited about the possibility of partnering with Cimpress plc to enhance your printing and signage offerings.

Best,
Harshit
DuPont Tedlar",57
Cimpress plc,ISA Sign Expo 2025,9,3290000000,10001,"Invests in and operates mass-customization businesses like Vistaprint, offering printing & signage solutions worldwide[2].","['Printing','Signage']",Yes,"Cimpress companies produce vast amounts of signage and custom print materials. Protective films could add value, especially for outdoor or high-touch prints.",Huge reach via multiple brands; strong potential for adopting protective film across product lines.,"['mass-customization leader','broad signage/print presence','potential for large-scale protective film adoption']",Taylor Smith,VP of Sales,taylor.smith@cimpressplc.com,https://www.linkedin.com/in/taylor-smith-8946,"Subject: Elevate Your Printing & Signage Solutions with DuPont Tedlar

Dear Taylor,

I trust this message finds you well. It was a pleasure connecting with you at the ISA Sign Expo 2025 and learning more about Cimpress plc's innovative approach to mass-customization in the printing and signage industry.

DuPont Tedlar's protective film solutions are uniquely positioned to enhance your printing and signage offerings, ensuring durability and longevity. With Cimpress plc's vast reach via multiple brands and strong potential for adopting protective film across product lines, our collaboration could drive significant value for your customers.

Given Cimpress plc's leadership in mass-customization and broad presence in signage and printing, integrating Tedlar's protective films could further differentiate your offerings and elevate customer satisfaction.

I would welcome the opportunity to discuss how DuPont Tedlar can support Cimpress plc in achieving its strategic objectives. Would you be available for a brief call next week to explore potential synergies further?


Best,
Harshit
DuPont Tedlar",57
Cimpress plc,ISA Sign Expo 2025,9,3290000000,10001,"Invests in and operates mass-customization businesses like Vistaprint, offering printing & signage solutions worldwide[2].","['Printing','Signage']",Yes,"Cimpress companies produce vast amounts of signage and custom print materials. Protective films could add value, especially for outdoor or high-touch prints.",Huge reach via multiple brands; strong potential for adopting protective film across product lines.,"['mass-customization leader','broad signage/print presence','potential for large-scale protective film adoption']",Cameron Garcia,VP of Sales,cameron.garcia@cimpressplc.com,https://www.linkedin.com/in/cameron-garcia-1252,"Subject: Elevating Cimpress plc's Printing and Signage Solutions with Tedlar

Dear Cameron Garcia,

I trust this message finds you well. It was a pleasure connecting with you at the ISA Sign Expo 2025 and discussing Cimpress plc's innovative mass-customization approach within the printing and signage industry.

DuPont Tedlar's protective film solutions are uniquely positioned to enhance the quality and durability of your printing products, aligning perfectly with Cimpress plc's commitment to providing top-notch solutions across its multiple brands. Our collaboration holds significant potential in extending your broad signage/print presence by integrating protective film technology seamlessly into your product lines.

I believe that leveraging Tedlar's protective film solutions could greatly benefit Cimpress plc by ensuring long-lasting quality and protection for your customized printing materials. I would love to explore how we can work together to implement these solutions effectively across your operations.

Looking forward to the opportunity to discuss this further at your convenience.

Best,
Harshit
DuPont Tedlar",57
